Data: 10-10-2022 13:43:41 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 10-10-2022 13:43:56 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 10-10-2022 13:44:00 | Usuário: Gustavo | ID: 5 | Deletou um produto:
Data: 10-10-2022 13:45:38 | Usuário: Gustavo | ID: 5 | Cadastrou um novo contato
Data: 10-10-2022 13:45:51 | Usuário: Gustavo | ID: 5 | Alterou um contato
Data: 10-10-2022 13:45:55 | Usuário: Gustavo | ID: 5 | Deletou um contato
Data: 10-10-2022 13:47:34 | Usuário: Gustavo | ID: 5 | Inseriu um novo projeto:
Data: 10-10-2022 13:47:44 | Usuário: Gustavo | ID: 5 | Alterou um projeto existente:
Data: 10-10-2022 13:47:47 | Usuário: Gustavo | ID: 5 | Deletou um projeto:
Data: 10-10-2022 13:49:14 | Usuário: Gustavo | ID: 5 | Alterou um projeto existente:
Data: 10-10-2022 13:49:51 | Usuário: Gustavo | ID: 5 | Inseriu um novo projeto:
Data: 10-10-2022 13:49:59 | Usuário: Gustavo | ID: 5 | Alterou um projeto existente:
Data: 10-10-2022 13:50:05 | Usuário: Gustavo | ID: 5 | Deletou um projeto:
Data: 10-10-2022 14:06:01 | Usuário: Gustavo | ID: 5 | Inseriu um arquivo CVS com sucesso:
Data: 10-10-2022 14:06:05 | Usuário: Gustavo | ID: 5 | Deletou um produto:
Data: 10-10-2022 14:06:08 | Usuário: Gustavo | ID: 5 | Deletou um produto:
Data: 10-10-2022 14:06:12 | Usuário: Gustavo | ID: 5 | Deletou um produto:
Data: 13-10-2022 16:28:44 | Usuário: Gustavo | ID: 5 | Cadastrou um novo usuário no sistema
Data: 13-10-2022 16:48:49 | Usuário: Victor | ID: 14 | Cadastrou um novo contato
Data: 13-10-2022 16:49:14 | Usuário: Victor | ID: 14 | Alterou um contato
Data: 13-10-2022 16:49:27 | Usuário: Victor | ID: 14 | Alterou um contato
Data: 14-10-2022 07:54:02 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 14-10-2022 07:54:43 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 14-10-2022 07:55:11 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 14-10-2022 08:02:39 | Usuário: Gustavo | ID: 5 | Deletou um produto:
Data: 14-10-2022 08:02:53 | Usuário: Gustavo | ID: 5 | Deletou um produto:
Data: 14-10-2022 15:32:55 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 14-10-2022 15:59:04 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 14-10-2022 16:01:10 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 14-10-2022 16:03:11 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 14-10-2022 16:06:37 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 14-10-2022 16:08:08 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 14-10-2022 16:09:22 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 18-10-2022 10:40:04 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 18-10-2022 10:42:00 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 18-10-2022 13:41:52 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 18-10-2022 13:42:31 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 18-10-2022 13:43:09 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 18-10-2022 13:44:09 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 18-10-2022 13:44:38 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 18-10-2022 13:46:02 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 18-10-2022 13:46:10 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 18-10-2022 13:46:24 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 18-10-2022 13:46:32 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 18-10-2022 13:46:42 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 18-10-2022 13:48:34 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 18-10-2022 13:49:11 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 18-10-2022 13:49:37 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 18-10-2022 13:54:34 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 18-10-2022 17:38:20 | Usuário: Gustavo | ID: 5 | Cadastrou um novo contato
Data: 18-10-2022 17:38:25 | Usuário: Gustavo | ID: 5 | Deletou um contato
Data: 18-10-2022 17:38:53 | Usuário: Gustavo | ID: 5 | Deletou um contato
Data: 18-10-2022 17:38:54 | Usuário: Gustavo | ID: 5 | Deletou um contato
Data: 18-10-2022 17:38:54 | Usuário: Gustavo | ID: 5 | Deletou um contato
Data: 18-10-2022 17:38:54 | Usuário: Gustavo | ID: 5 | Deletou um contato
Data: 18-10-2022 17:38:54 | Usuário: Gustavo | ID: 5 | Deletou um contato
Data: 18-10-2022 17:38:55 | Usuário: Gustavo | ID: 5 | Deletou um contato
Data: 18-10-2022 17:38:55 | Usuário: Gustavo | ID: 5 | Deletou um contato
Data: 18-10-2022 17:45:19 | Usuário: Gustavo | ID: 5 | Cadastrou um novo contato
Data: 18-10-2022 17:45:48 | Usuário: Gustavo | ID: 5 | Alterou um contato
Data: 18-10-2022 17:45:57 | Usuário: Gustavo | ID: 5 | Deletou um contato
Data: 19-10-2022 13:55:32 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 21-10-2022 14:49:45 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 21-10-2022 14:49:58 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 25-10-2022 10:22:51 | Usuário: Victor | ID: 14 | Inseriu um novo projeto:
Data: 25-10-2022 10:22:55 | Usuário: Victor | ID: 14 | Deletou um projeto:
Data: 26-10-2022 10:18:27 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 26-10-2022 10:20:40 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 26-10-2022 10:21:11 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 31-10-2022 08:04:00 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 31-10-2022 08:04:26 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 31-10-2022 08:04:55 | Usuário: Gustavo | ID: 5 | Inseriu um novo produto:
Data: 31-10-2022 08:11:48 | Usuário: Gustavo | ID: 5 | Alterou um produto existente:
Data: 07-11-2022 14:57:36 | Usuário: Gustavo | ID: 5 | Alterou um ramal existente:
Data: 07-11-2022 14:58:27 | Usuário: Gustavo | ID: 5 | Alterou um ramal existente:
Data: 07-11-2022 14:59:22 | Usuário: Gustavo | ID: 5 | Alterou um ramal existente:
Data: 07-11-2022 15:02:15 | Usuário: Gustavo | ID: 5 | Deletou um ramal:
Data: 07-11-2022 15:02:18 | Usuário: Gustavo | ID: 5 | Deletou um ramal:
Data: 07-11-2022 15:02:19 | Usuário: Gustavo | ID: 5 | Deletou um ramal:
Data: 07-11-2022 15:02:21 | Usuário: Gustavo | ID: 5 | Deletou um ramal:
Data: 07-11-2022 15:02:23 | Usuário: Gustavo | ID: 5 | Deletou um ramal:
Data: 07-11-2022 15:02:24 | Usuário: Gustavo | ID: 5 | Deletou um ramal:
Data: 07-11-2022 15:02:25 | Usuário: Gustavo | ID: 5 | Deletou um ramal:
Data: 07-11-2022 15:02:50 | Usuário: Gustavo | ID: 5 | Incluiu um novo ramal:
Data: 07-11-2022 15:03:05 | Usuário: Gustavo | ID: 5 | Incluiu um novo ramal:
